,ElasticNet,Random Forest,K-Nearest Neighbors,Driver,Actual
0,22.982877068521518,27.41,28.999999999999996,Charles Pic,25.0
1,23.02130008029895,26.88,29.0,Daniel Abt,25.0
2,22.969460842298272,26.9,29.0,Franck Montagny,25.0
3,23.922730434358176,27.09,25.43847107464317,Ho-Pin Tung,23.0
4,23.108241517231477,27.22,29.000000000000007,Jaime Alguersuari,25.0
5,4.270734573008713,2.05,2.3002471446401347,Jarno Trulli,2.0
6,22.955130534027177,27.3,28.999999999999996,JÃ©rome d'AmbrosioÂ ,25.0
7,22.994726991911,26.96,29.0,Karun Chandhok,25.0
8,23.015746881507813,27.18,29.0,Katherine Legge,24.0
9,22.981514654214177,26.82,29.000000000000004,Lucas di Grassi,25.0
10,22.859034478294486,22.03,29.0,Michela Cerruti,24.0
11,22.911349418118586,27.3,29.000000000000004,Nelson Piquet JR,25.0
12,22.950171442887854,26.6,29.0,Nick Heidfeld,24.0
13,22.94643423122034,26.6,29.0,Nicolas Prost,24.0
14,22.911606297179723,27.18,29.0,Oriol Servia,25.0
15,22.980731190801954,26.82,28.999999999999996,Sam Bird,25.0
16,24.28463386731275,17.12,28.004619297725196,Sebastien Buemi,14.0
17,22.918459577267054,27.22,28.999999999999996,Stephane Sarrazin,25.0
18,23.639452013977472,17.14,35.070614978095016,Takuma Sato,21.0
