ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,Unnamed: 21,file_loc,ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,Unnamed: 22,MANUFACTURER,Unnamed: 25
10.0,0.0,1.0,3:17.373,0.0,,1:49.797,0.0,42.184,0.0,45.392,0.0,63.0,3:17.373,08:18,1:49.797,0:42.184,0:45.392,,Jarno Trulli,0:01:11.928,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,2.0,2:01.936,0.0,,42.246,0.0,40.511,0.0,39.179,0.0,101.9,5:19.309,08:20,0:42.246,0:40.511,0:39.179,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,3.0,2:00.175,0.0,,41.745,0.0,39.791,0.0,38.639,0.0,103.4,7:19.484,08:22,0:41.745,0:39.791,0:38.639,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,4.0,2:00.830,0.0,,43.439,0.0,39.186,0.0,38.205,0.0,102.9,9:20.314,08:24,0:43.439,0:39.186,0:38.205,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,5.0,1:56.973,0.0,,41.645,0.0,37.618,0.0,37.710,0.0,106.3,11:17.287,08:26,0:41.645,0:37.618,0:37.710,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,6.0,1:53.033,0.0,,39.526,0.0,36.665,0.0,36.842,0.0,110.0,13:10.320,08:28,0:39.526,0:36.665,0:36.842,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,7.0,1:51.966,0.0,,39.232,0.0,36.418,0.0,36.316,0.0,111.0,15:02.286,08:30,0:39.232,0:36.418,0:36.316,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,8.0,7:11.116,0.0,B,39.037,0.0,36.126,0.0,5:55.953,0.0,28.8,22:13.402,08:37,0:39.037,0:36.126,5:55.953,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,9.0,2:12.900,0.0,,58.901,0.0,36.990,0.0,37.009,0.0,93.5,24:26.302,08:39,0:58.901,0:36.990,0:37.009,,Jarno Trulli,0:05:45.142,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,10.0,1:50.915,0.0,,38.726,0.0,36.145,0.0,36.044,0.0,112.1,26:17.217,08:41,0:38.726,0:36.145,0:36.044,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,11.0,1:52.645,0.0,,39.701,0.0,36.733,0.0,36.211,0.0,110.4,28:09.862,08:43,0:39.701,0:36.733,0:36.211,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,12.0,1:50.988,0.0,,38.754,0.0,35.906,0.0,36.328,0.0,112.0,30:00.850,08:45,0:38.754,0:35.906,0:36.328,,Jarno Trulli,,,./sampledata/2014-2015\Bejing\FP1\23_Analysis_Non Qualifying Practice 1 (2).CSV,,,,,,,,,,,,,,,,,,,,,,,,,
