ï»¿POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH,LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,ECM ForixTeamId,*Extra 8,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_ECM ForixDriverId,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 35,file_loc,ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,MANUFACTURER,Unnamed: 25,ï»¿TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,Unnamed: 8,ï»¿POSITION,STATUS,LAPS,TOTAL_TIME,FL_LAPNUM,FL_TIME,FL_KPH,Unnamed: 37,POWER,Unnamed: 26
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,1.0,2:03.522,0.0,,41.132,0.0,35.578,0.0,46.812,0.0,17.3,2:03.522,10:17:03.522,0:41.132,0:35.578,0:46.812,,Lucas DI GRASSI,0:00:08.433,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,2.0,1:45.014,0.0,,33.835,0.0,30.552,0.0,40.627,0.0,85.5,3:48.536,10:18:48.536,0:33.835,0:30.552,0:40.627,,Lucas DI GRASSI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,3.0,1:40.501,0.0,,32.636,0.0,29.605999999999998,0.0,38.259,0.0,89.3,5:29.037,10:20:29.037,0:32.636,0:29.606,0:38.259,,Lucas DI GRASSI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,4.0,1:27.977,0.0,,28.777,0.0,25.353,0.0,33.847,0.0,102.1,6:57.014,10:21:57.014,0:28.777,0:25.353,0:33.847,,Lucas DI GRASSI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,5.0,1:26.735,0.0,,27.942,0.0,24.615,0.0,34.178,0.0,103.5,8:23.749,10:23:23.749,0:27.942,0:24.615,0:34.178,,Lucas DI GRASSI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,6.0,2:47.678,0.0,B,39.813,0.0,49.676,0.0,1:18.189,0.0,53.5,11:11.427,10:26:11.427,0:39.813,0:49.676,1:18.189,,Lucas DI GRASSI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,7.0,15:21.060,0.0,,14:21.407,0.0,25.936999999999998,0.0,33.716,0.0,9.7,26:32.487,10:41:32.487,14:21.407,0:25.937,0:33.716,,Lucas DI GRASSI,0:14:08.321,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,8.0,1:23.703,0.0,,26.977,0.0,24.096999999999998,0.0,32.629,0.0,107.3,27:56.190,10:42:56.190,0:26.977,0:24.097,0:32.629,,Lucas DI GRASSI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,9.0,1:22.436,0.0,,26.580,0.0,23.525,0.0,32.331,0.0,108.9,29:18.626,10:44:18.626,0:26.580,0:23.525,0:32.331,,Lucas DI GRASSI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,10.0,1:21.808,0.0,,26.081,0.0,23.021,0.0,32.706,0.0,109.7,30:40.434,10:45:40.434,0:26.081,0:23.021,0:32.706,,Lucas DI GRASSI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,11.0,1:22.279,0.0,,26.228,0.0,23.546,0.0,32.505,0.0,109.1,32:02.713,10:47:02.713,0:26.228,0:23.546,0:32.505,,Lucas DI GRASSI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,12.0,1:20.154,2.0,,25.968,2.0,22.69,2.0,31.496,2.0,112.0,33:22.867,10:48:22.867,0:25.968,0:22.690,0:31.496,,Lucas DI GRASSI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Audi Sport Abt Schaeffler Formula E Team,,A,,,,,,,,,,,,,,,,,,,,,,,,,,./sampledata/2018-2019\AdD\FP1\23_Analysis_Free Practice.CSV,11.0,1.0,13.0,1:29.063,0.0,,26.738,0.0,23.726999999999997,0.0,38.598,0.0,100.8,34:51.930,10:49:51.930,0:26.738,0:23.727,0:38.598,,Lucas DI GRASSI,,,,,,,,,,,,,,,,,,,,,,
