ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,Unnamed: 21,file_loc,ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,Unnamed: 22,MANUFACTURER,Unnamed: 25
10.0,0.0,1.0,39:30.203,0.0,,38:15.917,0.0,37.598,0.0,36.688,2.0,5.2,39:30.203,16:48,38:15.917,0:37.598,0:36.688,,Jarno Trulli,0:37:39.620,,./Total_Lap_Num/2014-2015\Bejing\Race\Analysis_Race.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,2.0,1:52.596,2.0,,39.052,2.0,35.808,2.0,37.736,0.0,110.4,41:22.799,16:50,0:39.052,0:35.808,0:37.736,,Jarno Trulli,,,./Total_Lap_Num/2014-2015\Bejing\Race\Analysis_Race.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,1.0,1:53.814,0.0,,42.306,0.0,36.207,0.0,35.301,0.0,109.2,1:53.814,16:10,0:42.306,0:36.207,0:35.301,,Lucas di Grassi,,,./Total_Lap_Num/2014-2015\Bejing\Race\Analysis_Race.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,2.0,2:56.206,0.0,,39.864,0.0,1:13.195,0.0,1:03.147,0.0,70.5,4:50.020,16:13,0:39.864,1:13.195,1:03.147,,Lucas di Grassi,,,./Total_Lap_Num/2014-2015\Bejing\Race\Analysis_Race.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,3.0,4:35.138,0.0,,1:32.821,0.0,1:36.555,0.0,1:25.762,0.0,45.2,9:25.158,16:18,1:32.821,1:36.555,1:25.762,,Lucas di Grassi,,,./Total_Lap_Num/2014-2015\Bejing\Race\Analysis_Race.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,4.0,3:29.421,0.0,,1:19.300,0.0,1:12.425,0.0,57.696,0.0,59.4,12:54.579,16:22,1:19.300,1:12.425,0:57.696,,Lucas di Grassi,,,./Total_Lap_Num/2014-2015\Bejing\Race\Analysis_Race.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,5.0,1:49.069,0.0,,38.719,0.0,35.671,0.0,34.679,0.0,114.0,14:43.648,16:23,0:38.719,0:35.671,0:34.679,,Lucas di Grassi,,,./Total_Lap_Num/2014-2015\Bejing\Race\Analysis_Race.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,6.0,1:48.767,0.0,,38.282,0.0,35.503,0.0,34.982,0.0,114.3,16:32.415,16:25,0:38.282,0:35.503,0:34.982,,Lucas di Grassi,,,./Total_Lap_Num/2014-2015\Bejing\Race\Analysis_Race.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,7.0,1:48.184,0.0,,38.115,0.0,35.396,0.0,34.673,0.0,114.9,18:20.599,16:27,0:38.115,0:35.396,0:34.673,,Lucas di Grassi,,,./Total_Lap_Num/2014-2015\Bejing\Race\Analysis_Race.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,8.0,1:48.079,0.0,,38.028,0.0,35.465,0.0,34.586,0.0,115.0,20:08.678,16:29,0:38.028,0:35.465,0:34.586,,Lucas di Grassi,,,./Total_Lap_Num/2014-2015\Bejing\Race\Analysis_Race.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,9.0,1:47.971,0.0,,38.101,0.0,35.268,0.0,34.602,0.0,115.1,21:56.649,16:31,0:38.101,0:35.268,0:34.602,,Lucas di Grassi,,,./Total_Lap_Num/2014-2015\Bejing\Race\Analysis_Race.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.0,10.0,1:48.184,0.0,,38.005,0.0,35.447,0.0,34.732,0.0,114.9,23:44.833,16:32,0:38.005,0:35.447,0:34.732,,Lucas di Grassi,,,./Total_Lap_Num/2014-2015\Bejing\Race\Analysis_Race.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
