ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,Unnamed: 22,file_loc,ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,MANUFACTURER,Unnamed: 25
1.0,9.0,Classified,26.0,50:08.835,-,-,24.0,1:39.993,123.8,Renault e.Dams,,3.0,,Renault Z.E 15,,SÃ©bastien,BUEMI,,,CHE,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
2.0,11.0,Classified,26.0,50:19.841,+11.006,+11.006,21.0,1:41.721,121.7,ABT Schaeffler Audi Sport,,2.0,,ABT Schaeffler FE01,,Lucas,DI GRASSI,,,BRA,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
3.0,23.0,Classified,26.0,50:24.516,+15.681,+4.675,10.0,1:41.859,121.5,Mahindra Racing Formula E Team,,2.0,,Mahindra M2ELECTRO,,Nick,HEIDFELD,,,DEU,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
4.0,6.0,Classified,26.0,50:24.844,+16.009,+0.328,19.0,1:40.860,122.7,Dragon Racing,,4.0,,Venturi VM200-FE-01,,LoÃ¯c,DUVAL,,,FRA,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
5.0,7.0,Classified,26.0,50:25.349,+16.514,+0.505,20.0,1:40.860,122.7,Dragon Racing,,4.0,,Venturi VM200-FE-01,,JÃ©rÃ´me,D'AMBROSIO,,,BEL,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
6.0,88.0,Classified,26.0,50:48.301,+39.466,+22.952,19.0,1:42.427,120.9,NEXTEV TCR Formula E Team,,4.0,,NEXTEV TCR FormulaE 001,,Oliver,TURVEY,,,GBR,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
7.0,2.0,Classified,26.0,50:56.366,+47.531,+8.065,25.0,1:41.201,122.3,DS Virgin Racing Formula E Team,,4.0,,Virgin Racing Engineering DSV-01,,Sam,BIRD,,,GBR,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
8.0,77.0,Classified,26.0,51:07.455,+58.620,+11.089,25.0,1:42.327,121.0,Team Aguri,,3.0,,SRT01-e,,NathanaÃ«l,BERTHON,,,FRA,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
9.0,4.0,Classified,26.0,51:16.649,+1:07.814,+9.194,25.0,1:42.858,120.4,Venturi Formula E Team,,2.0,,Venturi VM200-FE-01,,StÃ©phane,SARRAZIN,,,FRA,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
10.0,27.0,Classified,26.0,51:18.095,+1:09.260,+1.446,22.0,1:42.242,121.1,Andretti Formula E Race Team,,4.0,,SRT01-e,,Robin,FRIJNS,,,NED,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
11.0,66.0,Classified,26.0,51:22.186,+1:13.351,+4.091,24.0,1:42.539,120.7,ABT Schaeffler Audi Sport,,1.0,,ABT Schaeffler FE01,,Daniel,ABT,,,DEU,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
12.0,25.0,Classified,26.0,51:39.875,+1:31.040,+17.689,22.0,1:42.844,120.4,DS Virgin Racing Formula E Team,,3.0,,Virgin Racing Engineering DSV-01,,Jean-Eric,VERGNE,,,FRA,,,./Total_Lap_Num/2015-2016\Beijing\Race\03_Classification_Race (13).CSV,,,,,,,,,,,,,,,,,,,,,,,
