ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,file_loc,ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,MANUFACTURER,Unnamed: 25,Unnamed: 37,POSITION
1.0,19.0,Classified,44.0,53:19.661,-,-,27.0,1:10.888,115.6,Mahindra Racing,,,8005.0,Mahindra M3Electro,,,,,,,,,,,,Felix,ROSENQVIST,,SWE,SWE,RST,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,11.0,Classified,44.0,53:21.893,2.232,2.232,27.0,1:11.070,115.3,ABT Schaeffler Audi Sport,,,1098.0,ABT Schaeffler FE02,,,,,,,,,,,,Lucas,DI GRASSI,,BRA,BRA,DIG,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,23.0,Classified,44.0,53:23.719,4.058,1.826,27.0,1:10.948,115.5,Mahindra Racing,,,1099.0,Mahindra M3Electro,,,,,,,,,,,,Nick,HEIDFELD,,DEU,DEU,HEI,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,37.0,Classified,44.0,53:33.299,13.638,9.580,27.0,1:11.224,115.1,DS Virgin Racing,,,8004.0,DS Virgin DSV-02,,,,,,,,,,,,JosÃ© Maria,LOPEZ,,ARG,ARG,LOP,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,8.0,Classified,44.0,53:38.729,19.068,5.430,28.0,1:11.117,115.3,Renault e.dams,,,2032.0,Renault Z.E. 16,,,,,,,,,,,,Nicolas,PROST,,FRA,FRA,PRO,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,66.0,Classified,44.0,53:39.460,19.799,+0.731,31.0,1:11.241,115.1,ABT Schaeffler Audi Sport,,,1080.0,ABT Schaeffler FE02,,,,,,,,,,,,Daniel,ABT,,DEU,DEU,ABT,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,2.0,Classified,44.0,53:39.726,20.065,+0.266,27.0,1:10.949,115.5,DS Virgin Racing,,,1087.0,DS Virgin DSV-02,,,,,,,,,,,,Sam,BIRD,,GBR,GBR,BIR,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,25.0,Classified,44.0,53:40.350,20.689,+0.624,26.0,1:11.352,114.9,TECHEETAH,,,1086.0,Renault Z.E. 16,,,,,,,,,,,,Jean-Eric,VERGNE,,FRA,FRA,VER,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,5.0,Classified,44.0,53:58.691,39.030,18.341,34.0,1:11.832,114.1,Venturi Formula E Team,,,8003.0,Venturi VM200-FE-02,,,,,,,,,,,,Maro,ENGEL,,DEU,DEU,ENG,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,88.0,Classified,44.0,54:00.646,40.985,1.955,26.0,1:11.787,114.2,NEXTEV NIO,,,9092.0,NextEV TCR Formula 002,,,,,,,,,,,,Oliver,TURVEY,,GBR,GBR,TUR,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,33.0,Classified,44.0,54:02.343,42.682,1.697,24.0,1:11.580,114.5,TECHEETAH,,,1113.0,Renault Z.E. 16,,,,,,,,,,,,StÃ©phane,SARRAZIN,,FRA,FRA,SAR,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,3.0,Classified,44.0,54:02.641,42.980,+0.298,27.0,1:11.574,114.5,NEXTEV NIO,,,9069.0,NextEV TCR Formula 002,,,,,,,,,,,,Nelson,PIQUET JR,,BRA,BRA,PIQ,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,7.0,Classified,44.0,54:05.373,45.712,2.732,32.0,1:11.822,114.1,Faraday Future Dragon Racing,,,1084.0,Penske 701-EV,,,,,,,,,,,,JÃ©rÃ´me,D'AMBROSIO,,BEL,BEL,DAM,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,47.0,Classified,44.0,54:09.319,49.658,3.946,39.0,1:11.687,114.3,Panasonic Jaguar Racing,,,8006.0,Jaguar I-Type 1,,,,,,,,,,,,Adam,CARROLL,,GBR,GBR,CAR,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,6.0,Classified,44.0,54:18.671,59.010,9.352,30.0,1:12.207,113.5,Faraday Future Dragon Racing,,,9082.0,Penske 701-EV,,,,,,,,,,,,LoÃ¯c,DUVAL,,FRA,FRA,DUV,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,28.0,Classified,44.0,54:19.930,+1:00.269,1.259,32.0,1:11.131,115.2,Andretti Formula E,,,3177.0,Andretti ATEC-02,,,,,,,,,,,,Antonio Felix,DA COSTA,,PRT,PRT,DAC,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,27.0,Classified,44.0,54:22.124,+1:02.463,2.194,25.0,1:11.616,114.5,Andretti Formula E,,,9093.0,Andretti ATEC-02,,,,,,,,,,,,Robin,FRIJNS,,NLD,NLD,FRI,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,4.0,Classified,44.0,54:27.356,+1:07.695,5.232,24.0,1:11.702,114.3,Venturi Formula E Team,,,8003.0,Venturi VM200-FE-02,,,,,,,,,,,,Tom,DILLMANN,,FRA,FRA,DIL,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
,20.0,Not classified,16.0,51:46.210,,,16.0,1:10.224,116.7,Panasonic Jaguar Racing,,,8007.0,Jaguar I-Type 1,,,,,,,,,,,,Mitch,EVANS,,NZL,NZL,EVA,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
,9.0,Disqualified,44.0,53:37.549,,,30.0,1:10.963,115.5,Renault e.dams,,,1090.0,Renault Z.E. 16,,,,,,,,,,,,SÃ©bastien,BUEMI,,CHE,CHE,BUE,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\03_Classification_Race 1.CSV,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,1.0,1:15.602,0.0,,30.816,0.0,20.503,0.0,24.283,0.0,108.4,1:15.602,16:05:01.897,0:30.816,0:20.503,0:24.283,,Lucas DI GRASSI,,ABT,,,
,,,,,,,,,,ABT Schaeffler Audi Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Berlin\Race\23_Analysis_Race 1.CSV,11.0,0.0,2.0,1:12.004,0.0,,26.912,0.0,20.609,0.0,24.483,0.0,113.8,2:27.606,16:06:13.901,0:26.912,0:20.609,0:24.483,,Lucas DI GRASSI,,ABT,,,
