ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,ECM ForixTeamId,*Extra 8,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_ECM ForixDriverId,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 37,file_loc,ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,MANUFACTURER,Unnamed: 25
1.0,66.0,Classified,45.0,55:35.546,-,-,26.0,1:12.409,118.2,Audi Sport ABT Schaeffler,,,,Audi e-tron FE04,MICHELIN,,,,,,,2017908101.0,,,,Daniel,ABT,,DEU,DEU,ABT,1080.0,,1990015408.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.0,Classified,45.0,55:42.304,+6.758,+6.758,26.0,1:12.675,117.7,Audi Sport ABT Schaeffler,,,,Audi e-tron FE04,MICHELIN,,,,,,,2017908101.0,,,,Lucas,DI GRASSI,,BRA,BRA,DIG,1098.0,,1984081100.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
3.0,25.0,Classified,45.0,55:48.440,+12.894,+6.136,45.0,1:12.488,118.0,TECHEETAH,,,,Renault Z.E. 17,MICHELIN,,,,,,,2016908103.0,,,,Jean-Eric,VERGNE,,FRA,FRA,VER,1086.0,,1990042500.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
4.0,9.0,Classified,45.0,55:52.828,+17.282,+4.388,30.0,1:13.080,117.1,Renault e.dams,,,,Renault Z.E. 17,MICHELIN,,,,,,,2015908104.0,,,,SÃ©bastien,BUEMI,,CHE,CHE,BUE,1090.0,,1988103100.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
5.0,16.0,Classified,45.0,55:55.166,+19.620,+2.338,19.0,1:13.171,116.9,NIO Formula E Team,,,,NextEV NIO Sport 003,MICHELIN,,,,,,,2017908102.0,,,,Oliver,TURVEY,,GBR,GBR,TUR,9092.0,,1987040100.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
6.0,20.0,Classified,45.0,56:00.132,+24.586,+4.966,27.0,1:13.057,117.1,Panasonic Jaguar Racing,,,,Jaguar I-Type II,MICHELIN,,,,,,,2016020101.0,,,,Mitch,EVANS,,NZL,NZL,EVA,8007.0,,1990015617.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
7.0,2.0,Classified,45.0,56:10.156,+34.610,+10.024,45.0,1:12.999,117.2,DS Virgin Racing,,,,DS Virgin DSV-03,MICHELIN,,,,,,,2016908105.0,,,,Sam,BIRD,,GBR,GBR,BIR,1087.0,,1987010900.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
8.0,5.0,Classified,45.0,56:13.360,+37.814,+3.204,37.0,1:13.518,116.4,Venturi Formula E Team,,,,Venturi VM200-FE-03,MICHELIN,,,,,,,2016908106.0,,,,Maro,ENGEL,,DEU,DEU,ENG,8003.0,,1985082700.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
9.0,18.0,Classified,45.0,56:19.905,+44.359,+6.545,42.0,1:12.818,117.5,TECHEETAH,,,,Renault Z.E. 17,MICHELIN,,,,,,,2016908103.0,,,,AndrÃ©,LOTTERER,,DEU,DEU,LOT,8013.0,,1981111900.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
10.0,23.0,Classified,45.0,56:21.477,+45.931,+1.572,10.0,1:13.440,116.5,Mahindra Racing,,,,Mahindra M4Electro,MICHELIN,,,,,,,2011806107.0,,,,Nick,HEIDFELD,,DEU,DEU,HEI,1099.0,,1977051000.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
11.0,19.0,Classified,45.0,56:21.927,+46.381,+0.450,36.0,1:13.655,116.2,Mahindra Racing,,,,Mahindra M4Electro,MICHELIN,,,,,,,2011806107.0,,,,Felix,ROSENQVIST,,SWE,SWE,FRO,8005.0,,1990015169.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
12.0,3.0,Classified,45.0,56:24.633,+49.087,+2.706,38.0,1:13.120,117.0,Panasonic Jaguar Racing,,,,Jaguar I-Type II,MICHELIN,,,,,,,2016020101.0,,,,Nelson,PIQUET,,BRA,BRA,PIQ,9069.0,,1985072500.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
13.0,4.0,Classified,45.0,56:25.696,+50.150,+1.063,35.0,1:13.530,116.4,Venturi Formula E Team,,,,Venturi VM200-FE-03,MICHELIN,,,,,,,2016908106.0,,,,Tom,DILLMANN,,FRA,FRA,DIL,8009.0,,1989040601.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
14.0,8.0,Classified,45.0,56:25.927,+50.381,+0.231,26.0,1:13.298,116.7,Renault e.dams,,,,Renault Z.E. 17,MICHELIN,,,,,,,2015908104.0,,,,Nicolas,PROST,,FRA,FRA,PRO,2032.0,,1981081801.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
15.0,28.0,Classified,45.0,56:28.261,+52.715,+2.334,30.0,1:13.706,116.1,Andretti Formula E,,,,Andretti ATEC-03,MICHELIN,,,,,,,2017908103.0,,,,Antonio Felix,DA COSTA,,PRT,PRT,DAC,3177.0,,1991083100.0,,,,./Total_Lap_Num/2017-2018\Berlin\Race\03_Classification_Race (33).CSV,,,,,,,,,,,,,,,,,,,,,,,
