ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,Unnamed: 25,file_loc,ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,ECM ForixTeamId,*Extra 8,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_ECM ForixDriverId,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 37,POWER,Unnamed: 26
11.0,1.0,1.0,12:29.456,0.0,,11:28.205,0.0,24.499000000000002,0.0,36.752,0.0,2.9,12:29.456,11:37:29.456,11:28.205,0:24.499,0:36.752,,Lucas DI GRASSI,0:11:06.095,,A,Audi Sport Abt Schaeffler Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,1.0,2.0,1:25.104,0.0,,26.350,0.0,23.54,0.0,35.214,0.0,105.5,13:54.560,11:38:54.560,0:26.350,0:23.540,0:35.214,,Lucas DI GRASSI,,,A,Audi Sport Abt Schaeffler Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,1.0,3.0,1:19.527,2.0,,25.612,2.0,22.398000000000003,2.0,31.517,2.0,112.9,15:14.087,11:40:14.087,0:25.612,0:22.398,0:31.517,,Lucas DI GRASSI,,,A,Audi Sport Abt Schaeffler Formula E Team,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.0,1.0,12:40.227,0.0,,11:42.112,0.0,25.079,0.0,33.036,0.0,2.8,12:40.227,11:37:40.227,11:42.112,0:25.079,0:33.036,,Sam BIRD,0:11:19.801,,A,Envision Virgin Racing,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.0,2.0,1:29.625,0.0,,25.967,0.0,25.444000000000003,0.0,38.214,0.0,100.2,14:09.852,11:39:09.852,0:25.967,0:25.444,0:38.214,,Sam BIRD,,,A,Envision Virgin Racing,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.0,3.0,1:18.511,2.0,,25.203,2.0,22.000999999999998,2.0,31.307,2.0,114.4,15:28.363,11:40:28.363,0:25.203,0:22.001,0:31.307,,Sam BIRD,,,A,Envision Virgin Racing,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,1.0,1.0,13:17.219,0.0,,12:11.388,0.0,25.496,0.0,40.335,0.0,2.7,13:17.219,11:38:17.219,12:11.388,0:25.496,0:40.335,,SÃ©bastien BUEMI,0:11:47.607,,A,Nissan e.dams,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,1.0,2.0,1:19.667,0.0,,25.627,0.0,22.183000000000003,0.0,31.857,0.0,112.7,14:36.886,11:39:36.886,0:25.627,0:22.183,0:31.857,,SÃ©bastien BUEMI,,,A,Nissan e.dams,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,1.0,3.0,1:18.269,2.0,,25.186,2.0,21.875,2.0,31.208,2.0,114.7,15:55.155,11:40:55.155,0:25.186,0:21.875,0:31.208,,SÃ©bastien BUEMI,,,A,Nissan e.dams,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,1.0,1.0,12:21.965,0.0,,11:24.202,0.0,24.767,0.0,32.996,0.0,2.9,12:21.965,11:37:21.965,11:24.202,0:24.767,0:32.996,,Jean-Eric VERGNE,0:10:49.059,,A,DS TECHEETAH,,,./Total_Lap_Num/2018-2019\AdD\Q\23_Analysis_Qualifying Group A (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
