DRIVER_NAME,location,match_type,GROUP,TEAM,mean_KPH,std_KPH,med_KPH,max_KPH,min_KPH,range_KPH,skew_KPH,mean_S1,std_S1,med_S1,max_S1,min_S1,range_S1,skew_S1,mean_S2,std_S2,med_S2,max_S2,min_S2,range_S2,skew_S2,mean_S3,std_S3,med_S3,max_S3,min_S3,range_S3,skew_S3,Total_Lap_Num,PIT_TIME_sum,cnt_CROSSING_FINISH_LINE_IN_PIT
 MA Qing Hua,Buenos,FP1,0,TECHEETAH,103.19999999999999,27.37865957274023,114.2,123.5,14.2,109.3,-2.1955235667618873,49949.80952380953,118869.95219382358,19547.0,563980.0,18318.0,545662.0,4.454454734786249,28510.0,6829.875313649583,26398.0,57094.0,24626.0,32468.0,4.0064592050470935,34029.95238095238,6735.738663845194,31021.0,57394.0,29177.0,28217.0,2.4349966705959423,21.0,629698.0,2
 MA Qing Hua,Buenos,FP2,0,TECHEETAH,109.64117647058823,28.468536554052292,118.5,127.0,9.7,117.3,-3.1254891493623584,70585.82352941176,202267.82749155734,19025.0,854684.0,17786.0,836898.0,4.10892179565321,26316.941176470587,2153.2075628753328,25352.0,31165.0,24019.0,7146.0,1.225030625650248,30665.647058823528,2208.828279347913,29164.0,34727.0,28266.0,6461.0,0.6751076857771835,17.0,886419.0,2
 MA Qing Hua,Buenos,Q,4.0,TECHEETAH,55.949999999999996,74.03407999023152,55.949999999999996,108.3,3.6,104.7,0.0,1205626.5,1673677.2033413432,1205626.5,2389095.0,22158.0,2366937.0,0.0,28569.5,2348.3016203205243,28569.5,30230.0,26909.0,3321.0,0.0,33244.5,132.22896808188437,33244.5,33338.0,33151.0,187.0,0.0,2.0,2372509.0,0
 MA Qing Hua,Buenos,Race,0,TECHEETAH,118.71388888888886,12.634514016947566,121.95,139.3,68.7,70.60000000000001,-3.401030812628542,21228.11111111111,11735.866470605102,19022.0,75004.0,0.0,75004.0,3.6336192744716307,24864.555555555555,4687.115881065848,25011.0,36383.0,0.0,36383.0,-4.056664878463294,29789.36111111111,2138.3325700551677,29104.5,40848.0,28621.0,12227.0,4.284715687955574,36.0,66639.0,1
 MA Qing Hua,HongKong,FP2,0,TECHEETAH,87.87647058823529,22.896111280405368,98.5,106.0,10.6,95.4,-2.5934710814066246,21562.529411764706,5257.301233970323,19077.0,39047.0,17996.0,21051.0,2.6017828342656717,23534.70588235294,3624.7319860354137,22177.0,31945.0,20085.0,11860.0,0.9479492342531223,61198.882352941175,137072.66246588083,27148.0,593006.0,24874.0,568132.0,4.120136166373344,17.0,587425.0,1
 MA Qing Hua,HongKong,Q,2.0,TECHEETAH,60.720000000000006,44.706677353612406,83.7,103.4,9.6,93.80000000000001,-0.5049933143479756,145481.8,277626.3196163145,21419.0,642077.0,18214.0,623863.0,2.2352182155935068,25340.4,3472.2688979973886,25310.0,30445.999999999996,20834.0,9611.999999999996,0.39898006295235544,100467.4,163235.98976114305,27764.0,392459.0,25098.0,367361.0,2.2355386359372598,5.0,967171.0,1
 MA Qing Hua,HongKong,Race,2.0,TECHEETAH,19.2,0.0,19.2,19.2,19.2,0.0,0.0,25201.0,0.0,25201.0,25201.0,25201.0,0.0,0.0,69831.0,0.0,69831.0,69831.0,69831.0,0.0,0.0,254614.0,0.0,254614.0,254614.0,254614.0,0.0,0.0,1.0,0.0,1
 MA Qing Hua,Marrakesh,FP1,0,TECHEETAH,116.20769230769234,22.12017944008453,124.35,126.9,23.7,103.2,-3.424161581215395,46661.807692307695,69325.49173169665,30302.0,383118.0,29648.0,353470.0,4.943597429858371,38493.192307692305,3039.155475051986,37419.5,47736.0,36497.0,11239.0,2.4288837852927077,19083.26923076923,2396.8842868639663,18256.5,29522.0,17844.0,11678.0,3.643342944250726,26.0,401494.0,2
 MA Qing Hua,Marrakesh,FP2,0,TECHEETAH,109.35999999999999,29.845214979002197,122.6,129.9,27.8,102.10000000000001,-1.9809270524611853,52965.46666666667,74872.09756441473,30619.0,321891.0,28770.0,293121.0,3.7923879204514193,42706.73333333333,15050.779820644639,37895.0,94795.0,35798.0,58997.0,3.4014841516374084,20596.6,6546.36154996477,18564.0,43778.0,17462.0,26316.0,3.6130824562592445,15.0,327545.0,2
 MA Qing Hua,Marrakesh,Q,1.0,TECHEETAH,96.69999999999999,21.620514949155737,89.1,128.5,80.1,48.400000000000006,1.7615655116135838,30750.5,22852.969617389626,34467.5,54067.0,0.0,54067.0,-0.8793187430402999,32754.5,22510.967171581055,40873.0,49272.0,0.0,49272.0,-1.6669856200385604,17328.75,12946.936198061172,19069.5,31176.0,0.0,31176.0,-0.7719441727681841,4.0,22720.0,2
