DRIVER_NAME,location,GROUP,TEAM,mean_KPH,std_KPH,med_KPH,max_KPH,min_KPH,skew_KPH,mean_S1,std_S1,med_S1,max_S1,min_S1,skew_S1,mean_S2,std_S2,med_S2,max_S2,min_S2,skew_S2,mean_S3,std_S3,med_S3,max_S3,min_S3,skew_S3,Total_Lap_Num,cnt_CROSSING_FINISH_LINE_IN_PIT
 MA Qing Hua,Buenos,0.0,TECHEETAH,112.22702702702705,22.47860046158543,120.30000000000001,139.3,9.7,-3.0541878274375245,40717.7972972973,115429.41281894088,19086.5,854684.0,0.0,6.243400941124888,26232.72972972973,5171.650660677917,25396.0,57094.0,0.0,1.3083885970422708,31194.08108108108,4363.880021569212,29414.0,57394.0,28266.0,3.7697416876738554,36.0,5
 MA Qing Hua,Buenos,4.0,TECHEETAH,55.949999999999996,74.03407999023152,55.949999999999996,108.3,3.6,0.0,1205626.5,1673677.2033413432,1205626.5,2389095.0,22158.0,0.0,28569.5,2348.3016203205243,28569.5,30230.0,26909.0,0.0,33244.5,132.22896808188437,33244.5,33338.0,33151.0,0.0,2.0,0
 MA Qing Hua,HongKong,0.0,TECHEETAH,87.87647058823529,22.896111280405368,98.5,106.0,10.6,-2.5934710814066246,21562.529411764706,5257.301233970323,19077.0,39047.0,17996.0,2.6017828342656717,23534.70588235294,3624.7319860354137,22177.0,31945.0,20085.0,0.9479492342531223,61198.882352941175,137072.66246588083,27148.0,593006.0,24874.0,4.120136166373344,17.0,1
 MA Qing Hua,HongKong,2.0,TECHEETAH,53.800000000000004,43.43118695131415,51.45,103.4,9.6,0.06558497007361411,125435.0,253125.15445210104,23310.0,642077.0,18214.0,2.44847609692273,32755.5,18426.816575306762,25642.5,69831.0,20834.0,2.2963455099036456,126158.5,158987.37810876686,28662.5,392459.0,25098.0,1.280769293568379,5.0,2
 MA Qing Hua,Marrakesh,0.0,TECHEETAH,117.39864864864867,19.757644563479193,123.95,129.9,23.7,-3.4497497104892707,41384.7027027027,53180.64569838076,30339.5,383118.0,28770.0,5.802223923162195,39052.67567567567,7110.2220417096605,37507.5,94795.0,35798.0,6.944327822798057,19096.405405405407,3320.022466168082,18306.5,43778.0,17462.0,6.232206608818305,33.0,5
 MA Qing Hua,Marrakesh,1.0,TECHEETAH,96.69999999999999,21.620514949155737,89.1,128.5,80.1,1.7615655116135838,30750.5,22852.969617389626,34467.5,54067.0,0.0,-0.8793187430402999,32754.5,22510.967171581055,40873.0,49272.0,0.0,-1.6669856200385604,17328.75,12946.936198061172,19069.5,31176.0,0.0,-0.7719441727681841,4.0,2
 MA Qing Hua,Newyork2,0.0,NIO Formula E Team,99.8785046728972,18.691921512203464,107.7,110.8,16.4,-2.645936772234275,32580.22429906542,16710.11381424628,29158.0,182192.0,0.0,6.934981734535679,26552.448598130843,7840.7020770471945,24573.0,53925.0,0.0,1.745649536693879,32347.859813084113,42816.916919809846,25097.0,461289.0,24339.0,9.681127885481558,42.0,3
 MA Qing Hua,Newyork2,1.0,NIO Formula E Team,74.93333333333332,36.8746977388742,93.1,99.2,32.5,-1.6788798919408594,54313.333333333336,37394.81897714353,33244.0,97489.0,32207.0,1.7305524585087926,28552.333333333332,1275.3745854976623,29261.0,29316.0,27080.0,-1.7284277197394302,27890.333333333332,1207.1691403168525,27685.0,29186.999999999996,26799.0,0.7432815692075828,3.0,0
 MA Qing Hua,Paris,0.0,NIO Formula E Team,95.43333333333334,22.8980585480804,104.7,109.5,11.6,-2.6651819662500738,21244.6091954023,13193.54133336699,18127.0,121475.0,17446.0,6.122236093163122,26965.6091954023,3406.0694163143053,25478.0,42684.0,24781.0,2.719513355908885,42179.862068965514,85480.56941365723,21943.0,546474.0,20727.0,4.678372873743347,46.0,5
 MA Qing Hua,Paris,4.0,NIO Formula E Team,82.63333333333333,33.69114621578396,93.3,109.7,44.9,-1.281899046719082,35275.666666666664,29749.09708433742,19071.0,69609.0,17147.0,1.7239040199245965,27218.666666666668,2207.1729278272096,27469.0,29290.0,24897.0,-0.5038160218295307,24313.666666666668,3295.0238744709172,24447.0,27540.0,20954.0,-0.18179460005521436,3.0,0
