,DRIVER_NAME,location,season_year,match_name,match_type,GROUP,TEAM,mean_KPH,std_KPH,med_KPH,max_KPH,min_KPH,range_KPH,skew_KPH,mean_S1,std_S1,med_S1,max_S1,min_S1,range_S1,skew_S1,mean_S2,std_S2,med_S2,max_S2,min_S2,range_S2,skew_S2,mean_S3,std_S3,med_S3,max_S3,min_S3,range_S3,skew_S3,Total_Lap_Num,PIT_TIME_cnt,cnt_CROSSING_FINISH_LINE_IN_PIT,DATE_ONLY,mean_air_temp,std_air_temp,med_air_temp,max_air_temp,min_air_temp,range_air_temp,skew_air_temp,mean_track_temp,std_track_temp,med_track_temp,max_track_temp,min_track_temp,range_track_temp,skew_track_temp,mean_HUMIDITY,std_HUMIDITY,med_HUMIDITY,max_HUMIDITY,min_HUMIDITY,range_HUMIDITY,skew_HUMIDITY,mean_PRESSURE,std_PRESSURE,med_PRESSURE,max_PRESSURE,min_PRESSURE,range_PRESSURE,skew_PRESSURE,mean_WIND_SPEED,std_WIND_SPEED,med_WIND_SPEED,max_WIND_SPEED,min_WIND_SPEED,range_WIND_SPEED,skew_WIND_SPEED
0, MA Qing Hua,Buenos,2016-2017,Groups Qualifying Session,Q,4.0,TECHEETAH,55.95,74.03407999023152,55.95,108.3,3.6,104.7,0.0,1205626.5,1673677.2033413432,1205626.5,2389095.0,22158.0,2366937.0,0.0,28569.5,2348.3016203205248,28569.5,30230.0,26909.0,3321.0,0.0,33244.5,132.22896808188437,33244.5,33338.0,33151.0,187.0,0.0,2.0,2,0,02/18/2017,26.299227272727283,0.06799764142160165,26.2778,26.4444,26.2222,0.22220000000000084,0.6342377874509968,26.25,0.24336324271955392,26.1111,26.6667,26.1111,0.5555999999999983,1.1958608382118507,74.93181818181819,0.8995535655735869,75.0,76.0,73.0,3.0,-0.6650059282205547,1008.2361363636362,0.12620057695465148,1008.23,1008.47,1008.03,0.44000000000005457,0.053279296184235506,4.462272045454547,2.0493503007046026,4.82803,8.04672,0.0,8.04672,0.0950713975400268
1, MA Qing Hua,HongKong,2016-2017,Groups Qualifying Session,Q,2.0,TECHEETAH,60.72000000000001,44.706677353612406,83.7,103.4,9.6,93.8,-0.5049933143479756,145481.8,277626.3196163145,21419.0,642077.0,18214.0,623863.0,2.2352182155935068,25340.4,3472.268897997389,25310.0,30446.0,20834.0,9611.999999999996,0.39898006295235533,100467.4,163235.98976114305,27764.0,392459.0,25098.0,367361.0,2.23553863593726,5.0,5,1,09/10/2016,29.94280735294118,0.31338182962507094,29.9444,30.7222,29.5,1.2222000000000008,1.0025141701742721,40.83334117647062,0.839526242775678,40.5556,42.2222,40.0,2.222200000000001,0.4544976910291226,67.80882352941177,0.7581862280818774,68.0,69.0,66.0,3.0,-0.9327191856076539,1007.6577941176472,0.23065672360447476,1007.72,1007.93,1007.25,0.67999999999995,-0.4833089117008939,3.5263564705882375,1.8705585894966228,3.21869,8.04672,0.0,8.04672,0.26061598781837797
3, MA Qing Hua,Marrakesh,2016-2017,Groups Qualifying Session,Q,1.0,TECHEETAH,96.7,21.620514949155737,89.1,128.5,80.1,48.40000000000001,1.7615655116135838,30750.5,22852.969617389623,34467.5,54067.0,0.0,54067.0,-0.8793187430402999,32754.5,22510.96717158105,40873.0,49272.0,0.0,49272.0,-1.6669856200385604,17328.75,12946.936198061172,19069.5,31176.0,0.0,31176.0,-0.7719441727681841,4.0,4,2,12/11/2016,19.256183333333333,0.18510877960192557,19.2778,19.5556,18.7778,0.7777999999999992,-0.8167591796767814,22.608022222222218,1.027136870865838,22.7778,23.8889,20.5556,3.3333000000000013,-0.26949788246426803,65.13888888888889,0.9607371508460949,65.0,68.0,64.0,4.0,0.9362068352196428,962.1975277777777,0.15258468114664023,962.2460000000001,962.415,961.9069999999999,0.5080000000000382,-0.49560034585210416,5.096256666666666,2.3242153206816765,4.82803,9.65606,0.0,9.65606,-0.24773473695670023
4, MA Qing Hua,Newyork2,2017-2018,Qualifying 2 Group 1,Q,1.0,NIO Formula E Team,74.93333333333331,36.874697738874204,93.1,99.2,32.5,66.7,-1.6788798919408594,54313.33333333334,37394.81897714353,33244.0,97489.0,32207.0,65282.0,1.7305524585087926,28552.33333333333,1275.3745854976626,29261.0,29316.0,27080.0,2236.0,-1.7284277197394302,27890.33333333333,1207.1691403168525,27685.0,29187.0,26799.0,2387.999999999997,0.7432815692075828,3.0,3,0,07/15/2018,22.518533333333334,0.04539720989958043,22.5278,22.5556,22.4444,0.11119999999999663,-0.8573214099742293,23.333300000000005,0.0,23.3333,23.3333,23.3333,0.0,0.0,89.33333333333333,0.5163977794943253,89.0,90.0,89.0,1.0,0.9682458365518952,1015.21,0.0,1015.21,1015.21,1015.21,0.0,0.0,3.0059816666666666,1.043102720146327,2.652335,4.24374,2.12187,2.12187,0.4559429457980929
5, MA Qing Hua,Paris,2017-2018,Qualifying Group 4,Q,4.0,NIO Formula E Team,82.63333333333333,33.69114621578397,93.3,109.7,44.9,64.80000000000001,-1.281899046719082,35275.666666666664,29749.097084337416,19071.0,69609.0,17147.0,52462.0,1.7239040199245963,27218.66666666667,2207.1729278272096,27469.0,29290.0,24897.0,4393.0,-0.5038160218295307,24313.66666666667,3295.023874470917,24447.0,27540.0,20954.0,6586.0,-0.1817946000552144,3.0,3,0,04/28/2018,15.333333333333334,0.049685437168920404,15.3333,15.3889,15.2778,0.11110000000000042,0.0015094960870350078,21.666699999999995,0.0,21.6667,21.6667,21.6667,0.0,0.0,59.833333333333336,0.408248290463864,60.0,60.0,59.0,1.0,-2.4494897427832036,1007.1533333333333,0.025819888974683604,1007.15,1007.18,1007.11,0.06999999999993634,-0.7591047358566534,1.7682216666666664,0.8662506165866012,1.5914,3.1828,1.06093,2.12187,0.8573120593446387
6,Adam CARROLL,Berlin2,2016-2017,Qualifying 2 Group 2,Q,2.0,Panasonic Jaguar Racing,99.3,27.834510953131552,112.7,117.9,67.3,50.60000000000001,-1.6642917062818874,42449.333333333336,27467.699818756817,27296.0,74156.0,25896.0,48260.0,1.7269901485171386,21094.0,1234.22971929864,21143.0,22303.0,19836.0,2467.0,-0.1783723511032949,24472.33333333333,785.1053007930418,24266.0,25340.0,23811.0,1529.0,1.1009599119805995,3.0,3,0,11/06/2017,25.64446,0.06332797959827949,25.6667,25.7222,25.5556,0.16660000000000252,-0.4051462591612121,53.66666,0.3043146529498698,53.8889,53.8889,53.3333,0.5555999999999983,-0.6085806194501847,52.0,0.0,52.0,52.0,52.0,0.0,0.0,1012.894,0.021908902300184125,1012.91,1012.91,1012.87,0.03999999999996362,-0.6085806194553736,7.081112,3.3372066508863365,8.04672,9.65606,1.60934,8.04672,-1.4467319508329255
7,Adam CARROLL,Berlin,2016-2017,Qualifying 1 Group 1,Q,1.0,Panasonic Jaguar Racing,88.53333333333335,44.979365639516665,111.6,117.3,36.7,80.6,-1.7008109952086108,75939.33333333331,85117.13485740303,27359.0,174222.0,26237.0,147985.0,1.7317122309138473,21477.33333333333,1526.940186560473,21435.0,23025.0,19972.0,3053.0,0.12466341279324834,24800.66666666667,1195.927394674666,24647.0,26066.0,23689.0,2377.0,0.5686660148752283,3.0,3,0,10/06/2017,20.322200000000002,0.09937924833686336,20.3333,20.4444,20.2222,0.22220000000000084,0.05217462312689675,40.55556,1.6197269624847295,40.0,42.7778,38.8889,3.8888999999999996,0.605292434456763,62.6,1.1401754250991387,63.0,64.0,61.0,3.0,-0.40479600891094286,1014.308,0.05974947698519331,1014.33,1014.36,1014.23,0.12999999999999545,-0.5728868871127184,7.0811139999999995,4.774088613136543,6.43738,14.4841,1.60934,12.87476,0.8848863896882203
8,Adam CARROLL,Buenos,2016-2017,Groups Qualifying Session,Q,1.0,Panasonic Jaguar Racing,83.425,50.22233069063999,94.5,125.8,18.9,106.9,-0.7608703328692621,32080.0,24207.81332545341,20963.0,68217.0,18177.0,50040.0,1.943913101723478,26926.75,3281.3357417368925,26062.5,31419.0,24163.0,7256.0,1.1416664599972115,127973.25,193163.18595490704,32798.0,417691.0,28606.0,389085.0,1.99888274740222,4.0,4,1,02/18/2017,26.299227272727283,0.06799764142160165,26.2778,26.4444,26.2222,0.22220000000000084,0.6342377874509968,26.25,0.24336324271955392,26.1111,26.6667,26.1111,0.5555999999999983,1.1958608382118507,74.93181818181819,0.8995535655735869,75.0,76.0,73.0,3.0,-0.6650059282205547,1008.2361363636362,0.12620057695465148,1008.23,1008.47,1008.03,0.44000000000005457,0.053279296184235506,4.462272045454547,2.0493503007046026,4.82803,8.04672,0.0,8.04672,0.0950713975400268
9,Adam CARROLL,HongKong,2016-2017,Groups Qualifying Session,Q,1.0,Panasonic Jaguar Racing,86.73333333333333,25.444907807522767,98.8,103.9,57.5,46.40000000000001,-1.6540989941434725,34645.0,26771.513890701066,19765.0,65551.0,18619.0,46932.0,1.7284809276281574,22133.66666666667,1741.6315147967805,21878.0,23989.0,20534.000000000004,3454.9999999999964,0.6463522151274577,26092.33333333333,786.9951291674762,26157.0,26845.0,25275.0,1570.0,-0.3672643295209146,3.0,3,0,09/10/2016,29.94280735294118,0.31338182962507094,29.9444,30.7222,29.5,1.2222000000000008,1.0025141701742721,40.83334117647062,0.839526242775678,40.5556,42.2222,40.0,2.222200000000001,0.4544976910291226,67.80882352941177,0.7581862280818774,68.0,69.0,66.0,3.0,-0.9327191856076539,1007.6577941176472,0.23065672360447476,1007.72,1007.93,1007.25,0.67999999999995,-0.4833089117008939,3.5263564705882375,1.8705585894966228,3.21869,8.04672,0.0,8.04672,0.26061598781837797
11,Adam CARROLL,Marrakesh,2016-2017,Groups Qualifying Session,Q,4.0,Panasonic Jaguar Racing,84.86666666666667,68.73400419976515,124.3,124.8,5.5,119.3,-1.731947695981129,650971.0,1073073.32497225,32234.0,1890049.0,30630.0,1859419.0,1.7320464538239804,38118.66666666666,2030.2621341426159,37573.0,40366.0,36417.0,3949.0,1.122084541373369,18233.33333333333,1352.1395391502065,17492.0,19794.0,17414.0,2380.0,1.7255688119652222,3.0,3,0,12/11/2016,19.256183333333333,0.18510877960192557,19.2778,19.5556,18.7778,0.7777999999999992,-0.8167591796767814,22.608022222222218,1.027136870865838,22.7778,23.8889,20.5556,3.3333000000000013,-0.26949788246426803,65.13888888888889,0.9607371508460949,65.0,68.0,64.0,4.0,0.9362068352196428,962.1975277777777,0.15258468114664023,962.2460000000001,962.415,961.9069999999999,0.5080000000000382,-0.49560034585210416,5.096256666666666,2.3242153206816765,4.82803,9.65606,0.0,9.65606,-0.24773473695670023
