,DRIVER_NUMBER,LAPS,FL_KPH,HOUR,MANUFACTURER,TOTAL_TIME,KPH,Unnamed: 25,NUMBER,DRIVER_SHORTNAME,S2_LARGE,GROUP,FL_LAPNUM,CROSSING_FINISH_LINE_IN_PIT,PIT_TIME,VEHICLE,TEAM,LAP_IMPROVEMENT,CLASS,S2_IMPROVEMENT,TOP_SPEED,DRIVER_COUNTRY,STATUS,ELAPSED,ï»¿POSITION,TIRES,DRIVER_NAME,S3_LARGE,GAP_PREVIOUS,LAP_NUMBER,ï»¿NUMBER,S2,GAP_FIRST,DIVISION,DRIVER_SECONDNAME,DRIVER_FIRSTNAME,S3,S1,LAP_TIME,S1_IMPROVEMENT,DRIVER_HOMETOWN,FL_TIME,S1_LARGE,DRIVER_LICENSE,S3_IMPROVEMENT,season_year,location,match_type,match_name
13379,0,,,16:05,,,103.3,,,,00:29.2,2,,,,,Amlin Aguri,0,,0,,,,01:37.8,,,Salvador Duran,00:31.5,,1,77,29.219,,,,,31.46,37.156,01:37.8,0,,,00:37.2,,0,2014-2015,Puntadel,Race,Race 
13380,0,,,16:06,,,120.3,,,,00:28.5,2,,,,,Amlin Aguri,0,,0,,,,03:01.8,,,Salvador Duran,00:31.2,,2,77,28.497,,,,,31.19,24.323,01:24.0,0,,,00:24.3,,0,2014-2015,Puntadel,Race,Race 
13381,0,,,16:08,,,121.3,,,,00:28.4,2,,,,,Amlin Aguri,0,,0,,,,04:25.2,,,Salvador Duran,00:31.0,,3,77,28.418,,,,,30.976,23.928,01:23.3,0,,,00:23.9,,0,2014-2015,Puntadel,Race,Race 
13382,0,,,16:09,,,119.2,,,,00:28.2,2,,,,,Amlin Aguri,0,,0,,,,05:50.0,,,Salvador Duran,00:31.7,,4,77,28.215,,,,,31.701,24.922,01:24.8,0,,,00:24.9,,0,2014-2015,Puntadel,Race,Race 
13383,0,,,16:11,,,82.9,,,,00:41.8,2,,,,,Amlin Aguri,0,,0,,,,07:52.0,,,Salvador Duran,00:44.5,,5,77,41.755,,,,,44.485,35.755,02:02.0,0,,,00:35.8,,0,2014-2015,Puntadel,Race,Race 
13384,0,,,16:13,,,80.5,,,,00:43.7,2,,,,,Amlin Aguri,0,,0,,,,09:57.5,,,Salvador Duran,00:42.9,,6,77,43.677,,,,,42.929,38.917,02:05.5,0,,,00:38.9,,0,2014-2015,Puntadel,Race,Race 
13385,0,,,16:14,,,122.9,,,,00:28.0,2,,,,,Amlin Aguri,0,,0,,,,11:19.8,,,Salvador Duran,00:30.1,,7,77,27.957,,,,,30.15,24.137,01:22.2,0,,,00:24.1,,0,2014-2015,Puntadel,Race,Race 
13386,0,,,16:16,,,123.3,,,,00:28.0,2,,,,,Amlin Aguri,0,,0,,,,12:41.7,,,Salvador Duran,00:30.4,,8,77,27.967,,,,,30.428,23.581,01:22.0,0,,,00:23.6,,0,2014-2015,Puntadel,Race,Race 
13387,0,,,16:17,,,117.7,,,,00:27.8,2,,,,,Amlin Aguri,0,,0,,,,14:07.6,,,Salvador Duran,00:34.3,,9,77,27.848,,,,,34.272,23.748,01:25.9,0,,,00:23.7,,0,2014-2015,Puntadel,Race,Race 
13388,0,,,16:19,,,81,,,,00:46.4,2,,,,,Amlin Aguri,0,,0,,,,16:12.4,,,Salvador Duran,00:41.4,,10,77,46.438,,,,,41.421,36.957,02:04.8,0,,,00:37.0,,0,2014-2015,Puntadel,Race,Race 
